Note ON: Channel: 1, Note: 60, Velocity: 127
Control Change: Channel: 1, Control: 2, Value: 3
Control Change: Channel: 1, Control: 7, Value: 3
Control Change: Channel: 1, Control: 2, Value: 7
Control Change: Channel: 1, Control: 7, Value: 7
Control Change: Channel: 1, Control: 2, Value: 13
Control Change: Channel: 1, Control: 7, Value: 13
Control Change: Channel: 1, Control: 2, Value: 17
Control Change: Channel: 1, Control: 7, Value: 17
Control Change: Channel: 1, Control: 2, Value: 21
Control Change: Channel: 1, Control: 7, Value: 21
Control Change: Channel: 1, Control: 2, Value: 27
Control Change: Channel: 1, Control: 7, Value: 27
Control Change: Channel: 1, Control: 2, Value: 31
Control Change: Channel: 1, Control: 7, Value: 31
Control Change: Channel: 1, Control: 2, Value: 35
Control Change: Channel: 1, Control: 7, Value: 35
Control Change: Channel: 1, Control: 2, Value: 39
Control Change: Channel: 1, Control: 7, Value: 39
Control Change: Channel: 1, Control: 2, Value: 45
Control Change: Channel: 1, Control: 7, Value: 45
Control Change: Channel: 1, Control: 2, Value: 47
Control Change: Channel: 1, Control: 7, Value: 47
Control Change: Channel: 1, Control: 2, Value: 51
Control Change: Channel: 1, Control: 7, Value: 51
Control Change: Channel: 1, Control: 2, Value: 57
Control Change: Channel: 1, Control: 7, Value: 57
Control Change: Channel: 1, Control: 2, Value: 61
Control Change: Channel: 1, Control: 7, Value: 61
Control Change: Channel: 1, Control: 2, Value: 65
Control Change: Channel: 1, Control: 7, Value: 65
Control Change: Channel: 1, Control: 2, Value: 69
Control Change: Channel: 1, Control: 7, Value: 69
Control Change: Channel: 1, Control: 2, Value: 73
Control Change: Channel: 1, Control: 7, Value: 73
Control Change: Channel: 1, Control: 2, Value: 79
Control Change: Channel: 1, Control: 7, Value: 79
Control Change: Channel: 1, Control: 2, Value: 83
Control Change: Channel: 1, Control: 7, Value: 83
Control Change: Channel: 1, Control: 2, Value: 89
Control Change: Channel: 1, Control: 7, Value: 89
Control Change: Channel: 1, Control: 2, Value: 93
Control Change: Channel: 1, Control: 7, Value: 93
Control Change: Channel: 1, Control: 2, Value: 99
Control Change: Channel: 1, Control: 7, Value: 99
Control Change: Channel: 1, Control: 2, Value: 103
Control Change: Channel: 1, Control: 7, Value: 103
